caseid,Trip number,Purpose_category,Date,Day of week,Start time - first hour,Main mode,Distance (km),Travel Time (minutes),Distance (miles) - rounded,Distance category,Origin eastings,Origin northings,Destination eastings,Destination northings,Travel time source (stated / calculated),Weight_2,trip_number_numeric,potential_duplicate_flag,date_day_mismatch_flag,distance_category_zero_flag,distance_category_review_flag,zero_distance_flag,mode_distance_review_flag,trip_internal_gap_flag,trip_starts_above_1_flag,valid_distance,distance_analysis_valid,valid_travel_time,travel_time_source,valid_od_geometry,same_origin_destination_flag,od_straight_line_km,reported_to_straight_line_ratio,spatial_distance_review_flag,origin_lta,destination_lta,od_scope,mode_group,distance_band,distance_band_order,start_hour,time_band,day_type,is_car_van,is_car_driver,is_car_passenger,is_active_wheeling,is_public_transport,is_short_trip,is_mid_distance_trip,is_short_car,is_mid_car,is_mid_public_transport,respondent_trip_count,validated_chain_member,short_car_chain_status,ModeKey,PurposeKey,DistanceKey,DateKey,TimeKey,OriginLTAKey,DestinationLTAKey
6422245818,$trip1pipe,shopping,2024-11-23,Saturday,7.0,Taxi/ minicab,3.472924,7.770604,2.0,3,526798.0,107592.0,528521.571499,105404.318427,stated,0.560982982485066,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,2.7850761887260247,1.2469762996281322,False,Brighton and Hove,Brighton and Hove,Within same LTA,Taxi / private hire,2 to <5 miles,3,7.0,06:00-10:00,Weekend,False,False,False,False,False,True,False,False,False,False,2,False,,14.0,7,3.0,20241123.0,8.0,2.0,2.0
6422245818,$trip2pipe,leisure,2024-11-23,Saturday,12.0,Rail,26.285856,22.530733714285716,16.0,5,526798.0,107592.0,506964.0,102123.0,stated,0.560982982485066,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,20.57419541561711,1.2776128285457706,False,Brighton and Hove,West Sussex,Between TfSE LTAs,Public transport,10 to <25 miles,5,12.0,10:00-15:00,Weekend,False,False,False,False,True,False,True,False,False,True,2,False,,12.0,4,5.0,20241123.0,13.0,2.0,15.0
6424548198,$trip1pipe,leisure,2024-11-24,Sunday,11.0,Car/ van (as the driver),24.956171,23.497776,14.0,5,533312.0,124782.0,520567.0,137241.0,stated,1.1249573631037677,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,17.823066683374105,1.4002175631918536,False,West Sussex,West Sussex,Within same LTA,Car / van,10 to <25 miles,5,11.0,10:00-15:00,Weekend,True,True,False,False,False,False,True,False,True,False,2,False,,2.0,4,5.0,20241124.0,12.0,15.0,15.0
6424548198,$trip2pipe,shopping,2024-11-24,Sunday,13.0,Car/ van (as the driver),4.22354,6.140771,2.5,3,533312.0,124782.0,530213.0,125572.0,stated,1.1249573631037677,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,3.1981089725023444,1.320636675083436,False,West Sussex,West Sussex,Within same LTA,Car / van,2 to <5 miles,3,13.0,10:00-15:00,Weekend,True,True,False,False,False,True,False,True,False,False,2,False,Not identified in validated chain,2.0,7,3.0,20241124.0,14.0,15.0,15.0
6426286370,$trip1pipe,personal business,2024-11-21,Thursday,8.0,Car/ van (as a passenger),7.230084,14.294549,4.5,3,576798.0,163097.0,577259.0,168423.0,stated,1.0038055660145415,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,5.345914047195297,1.3524504764144536,False,Medway,Medway,Within same LTA,Car / van,2 to <5 miles,3,8.0,06:00-10:00,Weekday,True,False,True,False,False,True,False,True,False,False,3,True,Part of validated chain,1.0,6,3.0,20241121.0,9.0,7.0,7.0
6426286370,$trip2pipe,shopping,2024-11-21,Thursday,11.0,Car/ van (as a passenger),6.967295,13.485615,4.0,3,577259.0,168423.0,579305.0,163365.0,stated,1.0038055660145415,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,5.456141493766451,1.2769637678861547,False,Medway,Medway,Within same LTA,Car / van,2 to <5 miles,3,11.0,10:00-15:00,Weekday,True,False,True,False,False,True,False,True,False,False,3,True,Part of validated chain,1.0,7,3.0,20241121.0,12.0,7.0,7.0
6426286370,$trip3pipe,other,2024-11-21,Thursday,14.0,Car/ van (as a passenger),6.844852,13.681519,4.0,3,579305.0,163365.0,575915.0,167792.0,stated,1.0038055660145415,3,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,5.5758792131824375,1.2275825458732086,False,Medway,Medway,Within same LTA,Car / van,2 to <5 miles,3,14.0,10:00-15:00,Weekday,True,False,True,False,False,True,False,True,False,False,3,True,Part of validated chain,1.0,5,3.0,20241121.0,15.0,7.0,7.0
6426321296,$trip1pipe,commute,2024-11-19,Tuesday,8.0,Public bus service,3.41746,8.201903999999999,2.0,3,580463.0,109724.0,578444.0,109584.0,stated,1.154269073997971,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,2.023848067420082,1.6885951346913295,False,East Sussex,East Sussex,Within same LTA,Public transport,2 to <5 miles,3,8.0,06:00-10:00,Weekday,False,False,False,False,True,True,False,False,False,False,1,False,,11.0,2,3.0,20241119.0,9.0,3.0,3.0
6426469454,$trip1pipe,commute,2024-11-22,Friday,6.0,Car/ van (as the driver),,,0.0,0,,,,,stated,1.0781569438072047,1,False,False,True,False,False,False,False,False,False,False,False,stated,False,False,,,False,,,,Car / van,,0,6.0,06:00-10:00,Weekday,True,True,False,False,False,False,False,False,False,False,1,False,,2.0,2,,20241122.0,7.0,,
6426478416,$trip1pipe,shopping,2024-11-20,Wednesday,10.0,Car/ van (as a passenger),2.105033,4.383869,1.0,2,609109.0,165099.0,610137.0,164541.0,stated,1.056046601343934,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,1.1696785883309997,1.799667892530756,False,Kent,Kent,Within same LTA,Car / van,1 to <2 miles,2,10.0,10:00-15:00,Weekday,True,False,True,False,False,True,False,True,False,False,2,False,Not identified in validated chain,1.0,7,2.0,20241120.0,11.0,6.0,6.0
6426478416,$trip2pipe,personal business,2024-11-20,Wednesday,14.0,Car/ van (as a passenger),0.426536,1.006115,0.0,1,609109.0,165099.0,609119.0,164811.0,stated,1.056046601343934,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,0.2881735588148226,1.480135796477038,False,Kent,Kent,Within same LTA,Car / van,Under 1 mile,1,14.0,10:00-15:00,Weekday,True,False,True,False,False,True,False,True,False,False,2,False,Not identified in validated chain,1.0,6,1.0,20241120.0,15.0,6.0,6.0
6426568932,$trip1pipe,shopping,2024-11-18,Monday,19.0,Car/ van (as the driver),6.262879,9.445143,3.5,3,513751.0,104849.0,508398.0,103193.0,stated,1.1826830250215286,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,5.603297689753775,1.1177130587675788,False,West Sussex,West Sussex,Within same LTA,Car / van,2 to <5 miles,3,19.0,19:00-24:00,Weekday,True,True,False,False,False,True,False,True,False,False,2,False,Not identified in validated chain,2.0,7,3.0,20241118.0,20.0,15.0,15.0
